trial_nr	onset	event_type	phase	response	nr_frames	condition	fixation_color_switch	contrast	onset_abs	duration
0	0.15828895568847656	dummy	0		4438.0				3.7738988399505615	36.983214139938354
0	6.1947619915008545	response	0	b					9.81037187576294	
0	22.116701126098633	response	0	b					25.732311010360718	
0	26.283650159835815	response	0	b					29.8992600440979	
0	31.683356046676636	response	0	b					35.29896593093872	
0	36.74172902107239	response	0	b					40.35733890533447	
0	37.133262157440186	pulse	0	t					40.74887204170227	
0	37.14150309562683	intro	1		3601.0				40.757112979888916	30.008200883865356
0	44.68350100517273	response	1	b					48.299110889434814	
0	49.54993200302124	response	1	b					53.165541887283325	
0	54.89152717590332	response	1	b					58.507137060165405	
0	59.308263063430786	response	1	b					62.92387294769287	
0	63.43313717842102	response	1	b					67.0487470626831	
1	67.14970397949219	stim	0		240.0	suppr_1		low	70.76531386375427	1.999582052230835
1	69.12491798400879	response	0	b		suppr_1		low	72.74052786827087	
1	69.14928603172302	iti	1		1961.0	suppr_1		low	72.76489591598511	16.3419771194458
1	74.90809416770935	response	1	b		suppr_1		low	78.52370405197144	
1	79.13312697410583	pulse	1	t		suppr_1		low	82.74873685836792	
1	80.84970498085022	response	1	b		suppr_1		low	84.4653148651123	
1	84.91638016700745	response	1	b		suppr_1		low	88.53199005126953	
2	85.49126315116882	stim	0		240.0	act		low	89.10687303543091	2.000018835067749
2	87.49128198623657	iti	1		2880.0	act		low	91.10689187049866	23.99982213973999
2	89.63308095932007	response	1	b		act		low	93.24869084358215	
2	97.61635899543762	response	1	b		act		low	101.2319688796997	
2	102.56634211540222	response	1	b		act		low	106.1819519996643	
2	107.63296604156494	response	1	b		act		low	111.24857592582703	
3	111.49110412597656	stim	0		240.0	act		low	115.10671401023865	1.9999558925628662
3	111.84952306747437	response	0	b		act		low	115.46513295173645	
3	113.49106001853943	iti	1		2391.0	act		low	117.10666990280151	19.925013065338135
3	119.63293600082397	response	1	b		act		low	123.24854588508606	
3	121.13290500640869	pulse	1	t		act		low	124.74851489067078	
3	124.38288807868958	response	1	b		act		low	127.99849796295166	
3	132.33283710479736	response	1	b		act		low	135.94844698905945	
4	133.41607308387756	stim	0		240.0	suppr_1		low	137.03168296813965	1.9999539852142334
4	135.4160270690918	iti	1		1767.0	suppr_1		low	139.03163695335388	14.724862098693848
4	137.4495279788971	response	1	b		suppr_1		low	141.06513786315918	
4	143.60785102844238	response	1	b		suppr_1		low	147.22346091270447	
5	150.14088916778564	stim	0		240.0	suppr_1		low	153.75649905204773	1.9999959468841553
5	151.29950594902039	response	0	b		suppr_1		low	154.91511583328247	
5	152.1408851146698	iti	1		1882.0	suppr_1		low	155.75649499893188	15.683312892913818
5	157.7577929496765	response	1	b		suppr_1		low	161.3734028339386	
5	163.13261699676514	pulse	1	t		suppr_1		low	166.74822688102722	
5	164.49924111366272	response	1	b		suppr_1		low	168.1148509979248	
6	167.82419800758362	stim	0		240.0	suppr_2		low	171.4398078918457	2.0000131130218506
6	168.68265914916992	response	0	b		suppr_2		low	172.298269033432	
6	169.82421112060547	iti	1		2437.0	suppr_2		low	173.43982100486755	20.308197021484375
6	172.8325800895691	response	1	b		suppr_2		low	176.44818997383118	
6	177.85762906074524	response	1	b		suppr_2		low	181.47323894500732	
6	181.83255195617676	response	1	b		suppr_2		low	185.44816184043884	
6	186.36595511436462	response	1	b		suppr_2		low	189.9815649986267	
7	190.13240814208984	stim	0		240.0	suppr_1		low	193.74801802635193	1.9995079040527344
7	190.94922804832458	response	0	b		suppr_1		low	194.56483793258667	
7	192.13191604614258	iti	1		2139.0	suppr_1		low	195.74752593040466	17.825031042099
7	193.7075011730194	response	1	b		suppr_1		low	197.3231110572815	
7	199.6158151626587	response	1	b		suppr_1		low	203.23142504692078	
7	203.9574911594391	response	1	b		suppr_1		low	207.57310104370117	
7	205.13248300552368	pulse	1	t		suppr_1		low	208.74809288978577	
7	208.78257298469543	response	1	b		suppr_1		low	212.39818286895752	
8	209.95694708824158	stim	0		240.0	act		low	213.57255697250366	2.0005578994750977
8	211.95750498771667	iti	1		2012.0	act		low	215.57311487197876	16.766298055648804
8	213.9407570362091	response	1	b		act		low	217.5563669204712	
8	220.06571197509766	response	1	b		act		low	223.68132185935974	
8	225.3823959827423	response	1	b		act		low	228.9980058670044	
9	228.72380304336548	stim	0		240.0	act		low	232.33941292762756	1.9999849796295166
9	230.723788022995	iti	1		2880.0	act		low	234.33939790725708	23.999983072280884
9	232.59073305130005	response	1	b		act		low	236.20634293556213	
9	237.29070115089417	response	1	b		act		low	240.90631103515625	
9	244.63226699829102	response	1	b		act		low	248.2478768825531	
9	247.13225317001343	pulse	1	t		act		low	250.7478630542755	
9	251.565593957901	response	1	b		act		low	255.1812038421631	
10	254.72377109527588	stim	0		240.0	suppr_2		low	258.33938097953796	1.9999749660491943
10	256.18226504325867	response	0	b		suppr_2		low	259.79787492752075	
10	256.7237460613251	iti	1		1795.0	suppr_2		low	260.33935594558716	14.958467960357666
10	262.3406431674957	response	1	b		suppr_2		low	265.9562530517578	
10	270.26562309265137	response	1	b		suppr_2		low	273.88123297691345	
11	271.68221402168274	stim	0		240.0	suppr_2		low	275.2978239059448	1.9998860359191895
11	273.68210005760193	iti	1		2180.0	suppr_2		low	277.297709941864	18.166479110717773
11	276.97375297546387	response	1	b		suppr_2		low	280.58936285972595	
11	282.14045214653015	response	1	b		suppr_2		low	285.75606203079224	
11	288.3153991699219	response	1	b		suppr_2		low	291.93100905418396	
11	289.1320950984955	pulse	1	t		suppr_2		low	292.74770498275757	
12	291.8485791683197	stim	0		240.0	act		low	295.4641890525818	1.9999988079071045
12	293.8485779762268	iti	1		1696.0	act		low	297.4641878604889	14.133263111114502
12	296.0570499897003	response	1	b		act		low	299.6726598739624	
12	300.38206815719604	response	1	b		act		low	303.99767804145813	
12	306.16557598114014	response	1	b		act		low	309.7811858654022	
13	307.9818410873413	stim	0		240.0	suppr_2		low	311.5974509716034	2.000035047531128
13	309.98187613487244	iti	1		2375.0	suppr_2		low	313.5974860191345	19.79147481918335
13	314.3653099536896	response	1	b		suppr_2		low	317.98091983795166	
13	320.74858117103577	response	1	b		suppr_2		low	324.36419105529785	
13	325.665235042572	response	1	b		suppr_2		low	329.2808449268341	
14	329.7733509540558	stim	0		240.0	suppr_1		low	333.38896083831787	2.000303030014038
14	331.131854057312	pulse	0	t		suppr_1		low	334.7474639415741	
14	331.7736539840698	iti	1		2033.0	suppr_1		low	335.3892638683319	16.941267013549805
14	333.54855608940125	response	1	b		suppr_1		low	337.16416597366333	
14	338.8235261440277	response	1	b		suppr_1		low	342.4391360282898	
14	343.1901581287384	response	1	b		suppr_1		low	346.8057680130005	
14	348.4985029697418	response	1	b		suppr_1		low	352.1141128540039	
15	348.71492099761963	stim	0		240.0	suppr_2		low	352.3305308818817	2.0000791549682617
15	350.7150001525879	iti	1		1790.0	suppr_2		low	354.33061003685	14.9165358543396
15	354.1567499637604	response	1	b		suppr_2		low	357.77235984802246	
15	360.14010214805603	response	1	b		suppr_2		low	363.7557120323181	
15	365.4733600616455	response	1	b		suppr_2		low	369.0889699459076	
16	365.6315360069275	outro	0		5942.0				369.2471458911896	49.524800062179565
16	372.3566801548004	response	0	b					375.9722900390625	
16	373.13171005249023	pulse	0	t					376.7473199367523	
16	376.64840507507324	response	0	b					380.2640149593353	
16	382.5400459766388	response	0	b					386.1556558609009	
16	388.6649589538574	response	0	b					392.2805688381195	
16	394.131450176239	response	0	b					397.7470600605011	
16	400.32330203056335	response	0	b					403.93891191482544	
